WARN   | wrapper  | 2018/09/06 16:42:03 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/09/06 16:43:24 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/09/06 16:43:29 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/09/11 16:06:03 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/09/11 16:06:09 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
WARN   | wrapper  | 2018/09/11 16:09:15 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
WARN   | wrapper  | 2018/10/04 09:12:22 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
WARN   | wrapper  | 2018/10/04 09:13:30 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/04 11:01:35 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/04 11:01:38 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/04 11:21:00 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/04 11:21:17 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/04 11:29:31 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/04 11:29:33 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
WARN   | wrapper  | 2018/10/05 10:42:51 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/05 10:49:10 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/05 10:49:14 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/05 14:36:14 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/05 14:36:28 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/05 14:54:44 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/05 14:55:34 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/05 15:00:38 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/05 15:00:43 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/05 15:16:39 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/05 15:16:47 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/05 15:45:45 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/05 15:45:51 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/08 13:58:12 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/08 13:58:20 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/10/16 10:42:16 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/10/16 10:42:25 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/12/14 16:07:09 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/12/14 16:07:16 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
ERROR  | wrapper  | 2018/12/14 16:07:31 | JVM did not exit on request, termination requested.
WARN   | wrapper  | 2018/12/14 16:07:38 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
WARN   | wrapper  | 2019/01/16 23:47:09 | wrapper.logfile must contain "YYYYMMDD" for a roll mode of DATE.  Disabling log file rolling.
